### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability	clad_valid	trans_valid
LmeyeA	ATT	I	L	0.0	0.79886471771	0.571428571429	0.0866141732283	0.889763779528	0.920289855072	0.0869565217391	1429.0	2.04539274924	5.0	0.0	0.0	0	0
LmeyeA	ATC	I	L	0.0	0.79886471771	0.166666666667	0.0909090909091	0.909090909091	0.0797101449275	0.0869565217391	1429.0	2.08859649123	7.0	0.0	0.0	0	0
SpombA	ATT	I	L	0.0	0.620630490084	1.0	0.154761904762	0.642857142857	0.579310344828	0.158620689655	1424.0	1.90787671233	5.0	0.0	0.034	0	0
SpombA	ATC	I	L	0.0	0.620630490084	0.666666666667	0.1875	0.46875	0.220689655172	0.158620689655	1424.0	1.53475774902	7.0	0.0	0.0	0	0
SpombA	ATA	I	L	0.0	0.620630490084	0.333333333333	0.137931034483	0.586206896552	0.2	0.158620689655	1424.0	1.85887758451	4.0	0.0	0.11	0	1
WmucoA	ATT	I	L	0.0	0.309472203443	0.461538461538	0.110465116279	0.813953488372	0.696356275304	0.117408906883	2246.0	1.98444938115	5.0	0.0	0.0	0	0
WmucoA	ATC	I	L	0.0	0.309472203443	0.285714285714	0.0909090909091	0.818181818182	0.133603238866	0.117408906883	2246.0	1.94179584674	7.0	0.0	0.0	0	0
WmucoA	ATA	I	L	0.0	0.309472203443	1.0	0.166666666667	0.642857142857	0.17004048583	0.117408906883	2246.0	1.89905149051	4.0	0.0	0.083	0	1
AacerA	ATT	I	L	0.0	0.568295590301	0.5	0.0655737704918	0.83606557377	0.968253968254	0.0634920634921	630.0	1.89852625115	5.0	0.0	0.012	0	0
CgallA	ATT	I	L	0.0	0.596096995377	0.636363636364	0.101265822785	0.835443037975	0.372641509434	0.122641509434	2247.0	2.06762443767	5.0	0.0	0.0	0	0
CgallA	ATC	I	L	0.0	0.596096995377	0.444444444444	0.155555555556	0.755555555556	0.212264150943	0.122641509434	2247.0	2.07783018868	7.0	0.0	0.0	0	0
CgallA	ATA	I	L	0.0	0.596096995377	0.538461538462	0.125	0.738636363636	0.415094339623	0.122641509434	2247.0	1.95728008089	4.0	0.0	0.065	0	1
CgigaA	ATC	I	L	0.0	0.0963624325413	0.166666666667	0.0324675324675	0.954545454545	0.860335195531	0.0335195530726	2002.0	1.95412589354	7.0	0.0	0.0	0	0
CgigaA	ATA	I	L	0.0	0.0963624325413	0.5	0.333333333333	0.666666666667	0.0167597765363	0.0335195530726	2002.0	2.59468438538	4.0	0.0	0.224	0	1
CsantA	ATT	I	L	0.0	0.537233272632	0.272727272727	0.105263157895	0.684210526316	0.142857142857	0.157894736842	2220.0	1.74885983582	5.0	0.0	0.0	0	0
CsantA	ATA	I	L	0.0	0.537233272632	1.0	0.170403587444	0.650224215247	0.838345864662	0.157894736842	2220.0	1.86678525546	4.0	0.0	0.09	0	1
CtropB	ATT	I	L	0.0	0.541830684595	0.0833333333333	0.0149253731343	0.910447761194	0.292576419214	0.0218340611354	2250.0	1.88600469116	5.0	0.0	0.0	0	0
CtropB	ATC	I	L	0.0	0.541830684595	0.230769230769	0.0215827338129	0.971223021583	0.606986899563	0.0218340611354	2250.0	1.94283072656	7.0	0.0	0.0	0	0
CtropB	ATA	I	L	0.0	0.541830684595	0.111111111111	0.0434782608696	0.95652173913	0.100436681223	0.0218340611354	2250.0	2.05731441048	4.0	0.0	0.302	0	1
CtropA	ATT	I	L	0.0	0.537359349073	0.0769230769231	0.0142857142857	0.914285714286	0.305676855895	0.0218340611354	2250.0	1.86817437881	5.0	0.0	0.0	0	0
CtropA	ATC	I	L	0.0	0.537359349073	0.25	0.021897810219	0.970802919708	0.598253275109	0.0218340611354	2250.0	1.95233241866	7.0	0.0	0.0	0	0
CtropA	ATA	I	L	0.0	0.537359349073	0.111111111111	0.0454545454545	0.954545454545	0.0960698689956	0.0218340611354	2250.0	2.07398843931	4.0	0.0	0.303	0	1
WpijpA	ATT	I	L	0.0	0.228479123122	0.285714285714	0.0505050505051	0.878787878788	0.697183098592	0.0704225352113	1429.0	1.95356935577	5.0	0.0	0.0	0	0
WpijpA	ATC	I	L	0.0	0.228479123122	0.666666666667	0.116279069767	0.883720930233	0.302816901408	0.0704225352113	1429.0	2.07687135814	7.0	0.0	0.0	0	0
BarxA	ATT	I	L	0.0	0.774860956618	1.0	0.0909090909091	0.636363636364	0.275	0.1	434.0	1.94210090984	5.0	0.0	0.044	0	0
BarxA	ATA	I	L	0.0	0.774860956618	1.0	0.103448275862	0.724137931034	0.725	0.1	434.0	1.87005649718	4.0	0.0	0.186	0	1
CoxycA	ATT	I	L	0.0	0.347664573936	1.0	0.235294117647	0.470588235294	0.377777777778	0.155555555556	434.0	2.05939004815	5.0	0.0	0.067	0	0
CoxycA	ATA	I	L	0.0	0.347664573936	1.0	0.136363636364	0.818181818182	0.488888888889	0.155555555556	434.0	2.00165494415	4.0	0.0	0.174	0	1
CsubhA	ATC	I	L	0.0	0.882593267544	0.615384615385	0.0769230769231	0.881656804734	0.836633663366	0.0742574257426	2244.0	2.0025388569	7.0	0.0	0.0	0	0
CsubhA	ATA	I	L	0.0	0.882593267544	0.181818181818	0.0666666666667	0.833333333333	0.148514851485	0.0742574257426	2244.0	1.70491803279	4.0	0.0	0.212	0	1
CsubhB	ATC	I	L	0.0	0.882593267544	0.615384615385	0.0769230769231	0.881656804734	0.836633663366	0.0742574257426	2244.0	2.0025388569	7.0	0.0	0.0	0	0
CsubhB	ATA	I	L	0.0	0.882593267544	0.181818181818	0.0666666666667	0.833333333333	0.148514851485	0.0742574257426	2244.0	1.70491803279	4.0	0.0	0.212	0	1
OanguA	ATT	I	L	0.0	0.0423022022761	0.769230769231	0.129411764706	0.741176470588	0.708333333333	0.154166666667	2248.0	1.9843780135	5.0	0.0	0.0	0	0
OanguA	ATC	I	L	0.0	0.0423022022761	0.4	0.125	0.8125	0.133333333333	0.154166666667	2248.0	2.11403790556	7.0	0.0	0.0	0	0
OanguA	ATA	I	L	0.0	0.0423022022761	0.6	0.289473684211	0.578947368421	0.158333333333	0.154166666667	2248.0	2.1343001261	4.0	0.0	0.023	0	1
SarboA	ATT	I	L	0.0	0.368596298702	0.714285714286	0.111111111111	0.846153846154	0.78	0.113333333333	1429.0	2.08184122312	5.0	0.0	0.0	0	0
SarboA	ATC	I	L	0.0	0.368596298702	0.5	0.136363636364	0.863636363636	0.146666666667	0.113333333333	1429.0	2.17276333186	7.0	0.0	0.0	0	0
SarboA	ATA	I	L	0.0	0.368596298702	0.2	0.0909090909091	0.272727272727	0.0733333333333	0.113333333333	1429.0	2.02802101576	4.0	0.0	0.079	0	1
CalaiA	ATT	I	L	0.0	0.171038766957	0.363636363636	0.142857142857	0.821428571429	0.370044052863	0.0925110132159	2056.0	2.06060989498	5.0	0.0	0.0	0	0
CalaiA	ATA	I	L	0.0	0.171038766957	0.454545454545	0.0656934306569	0.875912408759	0.603524229075	0.0925110132159	2056.0	1.93130704042	4.0	0.0	0.117	0	1
KtherA	ATT	I	L	0.0	0.790948639527	0.571428571429	0.09375	0.8828125	0.927536231884	0.0869565217391	1429.0	2.05130317555	5.0	0.0	0.0	0	0
CblacA	ATT	I	L	0.0	0.422222198906	1.0	0.142857142857	0.785714285714	0.35	0.1	434.0	2.1	5.0	0.0	0.043	0	0
CblacA	ATC	I	L	0.0	0.422222198906	1.0	0.166666666667	0.833333333333	0.15	0.1	434.0	2.08649468892	7.0	0.0	0.053	0	0
CblacA	ATA	I	L	0.0	0.422222198906	1.0	0.05	0.8	0.5	0.1	434.0	1.65512528474	4.0	0.0	0.186	0	1
CnorvA	ATT	I	L	0.0	0.20447996259	0.307692307692	0.0757575757576	0.787878787879	0.259842519685	0.0787401574803	2249.0	1.89519012025	5.0	0.0	0.0	0	0
CnorvA	ATC	I	L	0.0	0.20447996259	0.5	0.5	0.5	0.00787401574803	0.0787401574803	2249.0	2.70935960591	7.0	0.0	0.035	0	0
CnorvA	ATA	I	L	0.0	0.20447996259	0.461538461538	0.0752688172043	0.795698924731	0.732283464567	0.0787401574803	2249.0	1.89389086954	4.0	0.0	0.185	0	1
CviswA	ATT	I	L	0.0	0.953211635156	0.230769230769	0.0487804878049	0.890243902439	0.334693877551	0.0530612244898	2249.0	1.99036081803	5.0	0.0	0.0	0	0
CviswA	ATC	I	L	0.0	0.953211635156	0.1	0.0454545454545	0.909090909091	0.0897959183673	0.0530612244898	2249.0	1.99664750958	7.0	0.0	0.0	0	0
CviswA	ATA	I	L	0.0	0.953211635156	0.384615384615	0.0567375886525	0.929078014184	0.575510204082	0.0530612244898	2249.0	1.95760425499	4.0	0.0	0.209	0	1
MstarA	ATT	I	L	0.0	0.509405551041	0.583333333333	0.115384615385	0.782051282051	0.317073170732	0.142276422764	2249.0	2.01759133965	5.0	0.0	0.0	0	0
MstarA	ATA	I	L	0.0	0.509405551041	0.909090909091	0.16049382716	0.746913580247	0.658536585366	0.142276422764	2249.0	2.06482332852	4.0	0.0	0.057	0	1
NbaciA	ATT	I	L	0.0	0.411318986661	0.571428571429	0.0975609756098	0.837398373984	0.825503355705	0.10067114094	1428.0	2.03691275168	5.0	0.0	0.0	0	0
NbaciA	ATC	I	L	0.0	0.411318986661	0.4	0.142857142857	0.761904761905	0.140939597315	0.10067114094	1428.0	1.98123569794	7.0	0.0	0.0	0	0
CtetrA	ATT	I	L	0.0	0.891946656215	0.25	0.056338028169	0.929577464789	0.299578059072	0.0464135021097	2249.0	2.0409576871	5.0	0.0	0.0	0	0
CtetrA	ATC	I	L	0.0	0.891946656215	0.153846153846	0.0333333333333	0.95	0.253164556962	0.0464135021097	2249.0	1.99490816512	7.0	0.0	0.0	0	0
CtetrA	ATA	I	L	0.0	0.891946656215	0.307692307692	0.0471698113208	0.88679245283	0.447257383966	0.0464135021097	2249.0	1.89281376518	4.0	0.0	0.224	0	1
CbohiA	ATT	I	L	0.0	0.911755790188	0.307692307692	0.0515463917526	0.917525773196	0.418103448276	0.0474137931034	2250.0	1.95557549921	5.0	0.0	0.0	0	0
CbohiA	ATA	I	L	0.0	0.911755790188	0.384615384615	0.046511627907	0.899224806202	0.556034482759	0.0474137931034	2250.0	1.89690373745	4.0	0.0	0.212	0	1
LstarA	ATT	I	L	0.0	0.663777103584	0.666666666667	0.123711340206	0.752577319588	0.570588235294	0.117647058824	1834.0	1.89441535777	5.0	0.0	0.0	0	0
LstarA	ATC	I	L	0.0	0.663777103584	0.4	0.2	0.8	0.0588235294118	0.117647058824	1834.0	2.23848515865	7.0	0.0	0.001	0	0
LstarA	ATA	I	L	0.0	0.663777103584	0.555555555556	0.0952380952381	0.746031746032	0.370588235294	0.117647058824	1834.0	1.89543859649	4.0	0.0	0.066	0	1
MfariA	ATT	I	L	0.0	0.974120064255	0.384615384615	0.0909090909091	0.893939393939	0.278481012658	0.084388185654	2248.0	2.08980339887	5.0	0.0	0.0	0	0
MfariA	ATC	I	L	0.0	0.974120064255	0.166666666667	0.0909090909091	0.878787878788	0.139240506329	0.084388185654	2248.0	2.09864731112	7.0	0.0	0.0	0	0
MfariA	ATA	I	L	0.0	0.974120064255	0.461538461538	0.0797101449275	0.869565217391	0.582278481013	0.084388185654	2248.0	1.94265767179	4.0	0.0	0.178	0	1
MfariB	ATT	I	L	0.0	0.380607860683	0.25	0.0449438202247	0.921348314607	0.386956521739	0.0695652173913	2250.0	1.97554315565	5.0	0.0	0.0	0	0
MfariB	ATA	I	L	0.0	0.380607860683	0.538461538462	0.0902255639098	0.87969924812	0.578260869565	0.0695652173913	2250.0	1.98513978675	4.0	0.0	0.2	0	1
CcastA	ATT	I	L	0.0	1.6362602768e-05	0.714285714286	0.103703703704	0.844444444444	0.849056603774	0.138364779874	1428.0	2.02116627601	5.0	0.0	0.11	0	0
CcastA	ATC	I	L	0.0	1.6362602768e-05	0.666666666667	0.333333333333	0.666666666667	0.0377358490566	0.138364779874	1428.0	2.40063091483	7.0	0.0	0.251	0	0
CcastA	ATA	I	L	0.0	1.6362602768e-05	0.8	0.333333333333	0.0555555555556	0.11320754717	0.138364779874	1428.0	2.08150134048	4.0	0.0	0.435	0	1
