### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability	clad_valid	trans_valid
Aphrocallistes_vastus	AAA	K	L	0.0	0.0424861785762	0.125	0.030303030303	0.848484848485	1.0	0.030303030303	1349.0	-1.8434849653	0.0	0.0	0.273	0	0
Schistosoma	AAG	K	L	0.0	0.520833333333	0.125	0.037037037037	0.814814814815	0.710526315789	0.0263157894737	1325.0	-1.82716049383	2.0	0.0	0.0	0	0
Versteria_mustelae	AAA	K	L	0.0	0.0217391304348	0.2	0.0769230769231	0.0	0.333333333333	0.025641025641	1328.0	-1.89980353635	0.0	0.0	0.385	0	0
Euseius_nicholsi	AAA	K	L	0.0	0.571428571429	0.125	0.0357142857143	0.821428571429	0.8	0.0285714285714	1296.0	-1.72554347826	0.0	0.0	0.21	0	0
Limulus	AAA	K	L	0.0	0.648148148148	0.142857142857	0.0526315789474	0.947368421053	0.703703703704	0.037037037037	1351.0	-1.58434547908	0.0	0.0	0.181	0	0
Echinococcus_equinus	AAA	K	L	0.0	0.0217391304348	0.5	0.5	0.0	0.0689655172414	0.0344827586207	1331.0	0.210526315789	0.0	1.0	0.678	1	0
Axinella	AAG	K	L	0.0	0.133333333333	0.333333333333	0.2	0.6	0.151515151515	0.0606060606061	1348.0	-0.758793969849	2.0	0.0	0.0	0	0
Axinella	AAA	K	L	0.0	0.133333333333	0.125	0.0357142857143	0.892857142857	0.848484848485	0.0606060606061	1348.0	-1.79708826206	0.0	0.0	0.21	0	0
Terebratulina	AAA	K	L	0.0	0.603448275862	0.125	0.0416666666667	0.916666666667	0.8	0.0333333333333	1351.0	-1.74440894569	0.0	0.0	0.181	0	0
Suberites_domuncula	AAA	K	L	0.0	0.6	0.125	0.04	0.92	0.78125	0.03125	1351.0	-1.8	0.0	0.0	0.181	0	0
Katharina	AAA	K	L	0.0	0.564516129032	0.125	0.037037037037	0.962962962963	0.84375	0.03125	1348.0	-1.66885553471	0.0	0.0	0.21	0	0
Geodia	AAA	K	L	0.0	0.6	0.142857142857	0.037037037037	0.851851851852	0.794117647059	0.0294117647059	1350.0	-1.78113207547	0.0	0.0	0.181	0	0
Metridium	AAA	K	L	0.0	0.65	0.125	0.0434782608696	0.869565217391	0.71875	0.03125	1351.0	-1.72314507198	0.0	0.0	0.181	0	0
Amphimedon_queenslandica	AAA	K	L	0.0	0.625	0.142857142857	0.0434782608696	0.869565217391	0.766666666667	0.0333333333333	1351.0	-1.75055432373	0.0	0.0	0.181	0	0
Tetrancistrum_nebulosi	AAA	K	L	0.0	0.0192307692308	0.166666666667	0.0833333333333	0.0	0.285714285714	0.0238095238095	1333.0	-2.05341880342	0.0	0.0	0.385	0	0
Acropora	AAA	K	L	0.0	0.620689655172	0.125	0.0416666666667	0.875	0.75	0.03125	1350.0	-1.76170212766	0.0	0.0	0.181	0	0
Ciona	AAG	K	L	0.0	0.0892857142857	0.166666666667	0.142857142857	0.571428571429	0.194444444444	0.0277777777778	1348.0	-1.17647058824	2.0	0.0	0.0	0	0
Strigamia_maritima	AAA	K	L	0.0	0.68	0.142857142857	0.0588235294118	0.882352941176	0.653846153846	0.0384615384615	1351.0	-1.68325791855	0.0	0.0	0.181	0	0
Caenorhabditis	AAA	K	L	0.0	0.6	0.1	0.0333333333333	0.633333333333	0.833333333333	0.0277777777778	1346.0	-1.7614213198	0.0	0.0	0.21	0	0

### Alignment improvement:
AAA	Leu	5.00e-01


### Prediction Prob. range for Positive :[ 0.678 - 0.678 ]

