### Random Forest prediction
genome	codon	ori_aa	rea_aa	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Paracentrotus	ATT	I	L	0.651582516235	0.555555555556	0.2	0.688888888889	0.463917525773	0.19587628866	1452.0	2.01264822134	5.0	0
Paracentrotus	ATC	I	L	0.651582516235	0.2	0.0833333333333	0.833333333333	0.123711340206	0.19587628866	1452.0	1.81686046512	7.0	0
Paracentrotus	ATA	I	L	0.651582516235	0.5	0.225	0.675	0.412371134021	0.19587628866	1452.0	2.02003484321	4.0	0
Andalucia	ATT	I	L	0.899289307651	0.666666666667	0.208955223881	0.597014925373	0.638095238095	0.209523809524	1444.0	1.83758459136	5.0	0
Andalucia	ATC	I	L	0.899289307651	0.75	0.210526315789	0.552631578947	0.361904761905	0.209523809524	1444.0	1.80552995392	7.0	0
Seculomonas	ATT	I	L	0.10784784542	0.8	0.333333333333	0.5	0.589285714286	0.258928571429	1437.0	2.08528784648	5.0	0
Seculomonas	ATC	I	L	0.10784784542	0.333333333333	0.130434782609	0.695652173913	0.205357142857	0.258928571429	1437.0	1.94402420575	7.0	0
Seculomonas	ATA	I	L	0.10784784542	0.444444444444	0.173913043478	0.608695652174	0.205357142857	0.258928571429	1437.0	1.81137724551	4.0	0
Schistosoma	ATT	I	L	0.394204297728	0.888888888889	0.272727272727	0.272727272727	0.423076923077	0.230769230769	1212.0	1.21417322835	5.0	0
Schistosoma	ATC	I	L	0.394204297728	0.25	0.166666666667	0.666666666667	0.0576923076923	0.230769230769	1212.0	1.51704545455	7.0	0
Schistosoma	ATA	I	L	0.394204297728	0.875	0.203703703704	0.37037037037	0.519230769231	0.230769230769	1212.0	1.13615928067	4.0	0
Fasciola	ATT	I	L	0.134575812765	0.6	0.16	0.36	0.666666666667	0.2	1299.0	1.27234636872	5.0	0
Fasciola	ATC	I	L	0.134575812765	0.666666666667	0.666666666667	0.0	0.04	0.2	1299.0	1.48275862069	7.0	1
Fasciola	ATA	I	L	0.134575812765	0.571428571429	0.227272727273	0.272727272727	0.293333333333	0.2	1299.0	0.950080515298	4.0	0
Patiria	ATT	I	L	0.211151310154	0.5	0.176470588235	0.705882352941	0.333333333333	0.254901960784	1441.0	1.9780334728	5.0	0
Patiria	ATC	I	L	0.211151310154	0.285714285714	0.157894736842	0.631578947368	0.186274509804	0.254901960784	1441.0	1.88497217069	7.0	0
Patiria	ATA	I	L	0.211151310154	0.8	0.34693877551	0.591836734694	0.480392156863	0.254901960784	1441.0	2.21841541756	4.0	0
Lumbricus	ATT	I	L	0.00116932607565	0.5	0.166666666667	0.681818181818	0.507692307692	0.223076923077	1447.0	1.90913978495	5.0	0
Lumbricus	ATC	I	L	0.00116932607565	0.5	0.258064516129	0.58064516129	0.238461538462	0.223076923077	1447.0	2.04214123007	7.0	1
Lumbricus	ATA	I	L	0.00116932607565	0.555555555556	0.30303030303	0.121212121212	0.253846153846	0.223076923077	1447.0	1.81798715203	4.0	1
Halocynthia	ATT	I	L	0.0331805524735	0.5	0.0943396226415	0.660377358491	0.576086956522	0.130434782609	1343.0	1.54575596817	5.0	0
Halocynthia	ATA	I	L	0.0331805524735	0.428571428571	0.21875	0.3125	0.347826086957	0.130434782609	1343.0	1.50269687163	4.0	1
Limulus	ATT	I	L	0.00181971190667	0.6	0.177215189873	0.632911392405	0.530201342282	0.208053691275	1439.0	1.94940079893	5.0	0
Limulus	ATC	I	L	0.00181971190667	0.571428571429	0.166666666667	0.5	0.201342281879	0.208053691275	1439.0	1.68263473054	7.0	1
Limulus	ATA	I	L	0.00181971190667	0.8	0.3	0.15	0.268456375839	0.208053691275	1439.0	1.99731423456	4.0	1
Caenorhabditis	ATT	I	L	3.4147886104e-06	0.818181818182	0.228915662651	0.481927710843	0.638461538462	0.292307692308	1322.0	1.7373483898	5.0	1
Caenorhabditis	ATC	I	L	3.4147886104e-06	0.25	0.222222222222	0.444444444444	0.0692307692308	0.292307692308	1322.0	1.44444444444	7.0	1
Caenorhabditis	ATA	I	L	3.4147886104e-06	0.888888888889	0.447368421053	0.0263157894737	0.292307692308	0.292307692308	1322.0	1.57298277425	4.0	1
Axinella	ATT	I	L	0.116399419889	0.5	0.25	0.596153846154	0.472727272727	0.209090909091	1448.0	1.92828146143	5.0	0
Axinella	ATA	I	L	0.116399419889	0.5	0.217391304348	0.630434782609	0.418181818182	0.209090909091	1448.0	2.02511415525	4.0	0
Terebratulina	ATT	I	L	0.00267059095532	0.9	0.30612244898	0.469387755102	0.368421052632	0.278195488722	1431.0	1.88057553957	5.0	1
Terebratulina	ATC	I	L	0.00267059095532	0.888888888889	0.230769230769	0.596153846154	0.390977443609	0.278195488722	1431.0	1.90964261632	7.0	0
Terebratulina	ATA	I	L	0.00267059095532	0.666666666667	0.3125	0.0625	0.240601503759	0.278195488722	1431.0	2.06305309735	4.0	1
Jbahamiensis	ATT	I	L	0.47808194754	0.636363636364	0.177215189873	0.607594936709	0.718181818182	0.190909090909	1435.0	1.82211324119	5.0	0
Jbahamiensis	ATC	I	L	0.47808194754	0.333333333333	0.153846153846	0.769230769231	0.118181818182	0.190909090909	1435.0	1.92592592593	7.0	0
Jbahamiensis	ATA	I	L	0.47808194754	0.375	0.277777777778	0.5	0.163636363636	0.190909090909	1435.0	1.70699432892	4.0	0
Bfloridae	ATT	I	L	0.498124004917	0.375	0.125	0.75	0.533333333333	0.111111111111	793.0	2.00290275762	5.0	0
Bfloridae	ATC	I	L	0.498124004917	0.25	0.0909090909091	0.818181818182	0.244444444444	0.111111111111	793.0	1.38226299694	7.0	0
Bfloridae	ATA	I	L	0.498124004917	0.166666666667	0.1	0.2	0.222222222222	0.111111111111	793.0	1.77738515901	4.0	0
Katharina	ATT	I	L	0.0149545962169	0.454545454545	0.128571428571	0.714285714286	0.603448275862	0.155172413793	1441.0	1.88491048593	5.0	0
Katharina	ATC	I	L	0.0149545962169	0.428571428571	0.166666666667	0.555555555556	0.155172413793	0.155172413793	1441.0	1.6204238921	7.0	0
Katharina	ATA	I	L	0.0149545962169	0.5	0.214285714286	0.178571428571	0.241379310345	0.155172413793	1441.0	1.96608040201	4.0	1
Geodia	ATT	I	L	0.0363658256131	0.636363636364	0.16	0.72	0.467289719626	0.252336448598	1451.0	2.00713266762	5.0	0
Geodia	ATA	I	L	0.0363658256131	0.555555555556	0.351851851852	0.518518518519	0.504672897196	0.252336448598	1451.0	2.07623318386	4.0	0
Metridium	ATT	I	L	0.654165670934	0.8	0.213114754098	0.672131147541	0.586538461538	0.230769230769	1453.0	1.98502304147	5.0	0
Metridium	ATC	I	L	0.654165670934	0.333333333333	0.166666666667	0.611111111111	0.173076923077	0.230769230769	1453.0	1.77777777778	7.0	0
Metridium	ATA	I	L	0.654165670934	0.5	0.32	0.64	0.240384615385	0.230769230769	1453.0	2.22594142259	4.0	0
Acropora	ATT	I	L	0.776476831288	0.545454545455	0.203703703704	0.685185185185	0.574468085106	0.191489361702	1452.0	2.01038961039	5.0	0
Acropora	ATC	I	L	0.776476831288	0.142857142857	0.0833333333333	0.75	0.127659574468	0.191489361702	1452.0	1.79941860465	7.0	0
Acropora	ATA	I	L	0.776476831288	0.555555555556	0.214285714286	0.75	0.297872340426	0.191489361702	1452.0	2.09811320755	4.0	0
Trichinella	ATT	I	L	0.00394791856897	0.666666666667	0.255813953488	0.441860465116	0.300699300699	0.237762237762	1246.0	1.84553499598	5.0	1
Trichinella	ATC	I	L	0.00394791856897	0.666666666667	0.166666666667	0.452380952381	0.293706293706	0.237762237762	1246.0	1.38728323699	7.0	1
Trichinella	ATA	I	L	0.00394791856897	0.875	0.275862068966	0.103448275862	0.405594405594	0.237762237762	1246.0	1.29315566323	4.0	1
Balanoglossus	ATT	I	L	0.342999185299	0.444444444444	0.185185185185	0.740740740741	0.333333333333	0.148148148148	1452.0	2.03703703704	5.0	0
Balanoglossus	ATC	I	L	0.342999185299	0.222222222222	0.1	0.875	0.493827160494	0.148148148148	1452.0	1.98949211909	7.0	0
Balanoglossus	ATA	I	L	0.342999185299	0.333333333333	0.214285714286	0.642857142857	0.172839506173	0.148148148148	1452.0	1.97277227723	4.0	0
Reclinomonas	ATT	I	L	0.187727252645	0.545454545455	0.176470588235	0.661764705882	0.68	0.22	1438.0	1.98661863098	5.0	0
Reclinomonas	ATC	I	L	0.187727252645	0.5	0.285714285714	0.428571428571	0.07	0.22	1438.0	2.03553299492	7.0	0
Reclinomonas	ATA	I	L	0.187727252645	0.7	0.32	0.52	0.25	0.22	1438.0	1.97075208914	4.0	0
Drosophila	ATT	I	L	5.80940331717e-05	0.727272727273	0.172043010753	0.677419354839	0.664285714286	0.214285714286	1437.0	1.9477668433	5.0	0
Drosophila	ATC	I	L	5.80940331717e-05	0.333333333333	0.2	0.8	0.0357142857143	0.214285714286	1437.0	1.88888888889	7.0	0
Drosophila	ATA	I	L	5.80940331717e-05	0.583333333333	0.309523809524	0.119047619048	0.3	0.214285714286	1437.0	2.14979079498	4.0	1
Jlibera	ATT	I	L	0.210622691112	0.7	0.193548387097	0.693548387097	0.720930232558	0.232558139535	1440.0	2.02379603399	5.0	0
Jlibera	ATC	I	L	0.210622691112	0.833333333333	0.454545454545	0.545454545455	0.127906976744	0.232558139535	1440.0	2.5	7.0	0
Jlibera	ATA	I	L	0.210622691112	0.6	0.230769230769	0.461538461538	0.151162790698	0.232558139535	1440.0	1.72994652406	4.0	0
Myxine	ATT	I	L	8.38374947868e-05	0.777777777778	0.2	0.622222222222	0.31914893617	0.255319148936	1409.0	1.88690937258	5.0	0
Myxine	ATC	I	L	8.38374947868e-05	0.5	0.18	0.62	0.354609929078	0.255319148936	1409.0	1.92624113475	7.0	0
Myxine	ATA	I	L	8.38374947868e-05	0.888888888889	0.391304347826	0.152173913043	0.326241134752	0.255319148936	1409.0	2.09589041096	4.0	1
Ciona	ATT	I	L	0.00271786019814	0.8	0.271739130435	0.510869565217	0.609271523179	0.298013245033	1353.0	1.82752155981	5.0	1
Ciona	ATC	I	L	0.00271786019814	0.428571428571	0.25	0.333333333333	0.0794701986755	0.298013245033	1353.0	0.925287356322	7.0	1
Ciona	ATA	I	L	0.00271786019814	0.727272727273	0.36170212766	0.127659574468	0.311258278146	0.298013245033	1353.0	1.59229058562	4.0	1
Saccoglossus	ATT	I	L	0.395488636717	0.666666666667	0.142857142857	0.69387755102	0.510416666667	0.166666666667	1450.0	1.86838340486	5.0	0
Saccoglossus	ATC	I	L	0.395488636717	0.428571428571	0.277777777778	0.611111111111	0.1875	0.166666666667	1450.0	2.00188323917	7.0	0
Saccoglossus	ATA	I	L	0.395488636717	0.363636363636	0.137931034483	0.793103448276	0.302083333333	0.166666666667	1450.0	2.00871731009	4.0	0
Daphnia	ATT	I	L	0.26433614172	0.777777777778	0.233333333333	0.666666666667	0.526315789474	0.228070175439	1432.0	2.07457428068	5.0	0
Daphnia	ATC	I	L	0.26433614172	0.545454545455	0.27027027027	0.540540540541	0.324561403509	0.228070175439	1432.0	2.14832535885	7.0	0
Daphnia	ATA	I	L	0.26433614172	0.333333333333	0.117647058824	0.0588235294118	0.149122807018	0.228070175439	1432.0	1.86150712831	4.0	0
Homo	ATT	I	L	5.30445200589e-06	0.4	0.111111111111	0.722222222222	0.255319148936	0.191489361702	1451.0	1.86699029126	5.0	0
Homo	ATC	I	L	5.30445200589e-06	0.555555555556	0.147058823529	0.676470588235	0.482269503546	0.191489361702	1451.0	1.9095139607	7.0	0
Homo	ATA	I	L	5.30445200589e-06	0.727272727273	0.351351351351	0.108108108108	0.262411347518	0.191489361702	1451.0	2.11271676301	4.0	1
Blanceolatum	ATT	I	L	0.17729938574	0.571428571429	0.153846153846	0.730769230769	0.604651162791	0.186046511628	788.0	1.78712220762	5.0	0
Blanceolatum	ATC	I	L	0.17729938574	0.6	0.25	0.583333333333	0.279069767442	0.186046511628	788.0	1.74709302326	7.0	0
Blanceolatum	ATA	I	L	0.17729938574	0.25	0.2	0.0	0.116279069767	0.186046511628	788.0	1.84172661871	4.0	0
Epigonichthys	ATT	I	L	0.000247562558419	0.666666666667	0.155172413793	0.758620689655	0.537037037037	0.166666666667	1450.0	1.87415592388	5.0	0
Epigonichthys	ATC	I	L	0.000247562558419	0.142857142857	0.0416666666667	0.958333333333	0.222222222222	0.166666666667	1450.0	1.96834532374	7.0	0
