#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Cytochrome_B         PF00033.17   189 LmeyeA               -            387   1.3e-75  253.2  19.2   1   2   2.5e-79   1.3e-75  253.2  19.2     2   188    18   204    17   205 0.99 Cytochrome b/b6/petB
Cytochrome_B         PF00033.17   189 LmeyeA               -            387   1.3e-75  253.2  19.2   2   2      0.18     1e+03   -0.7   1.0   134   175   289   336   270   344 0.56 Cytochrome b/b6/petB
Cytochrom_B_N_2      PF13631.4    169 LmeyeA               -            387   3.1e-38  131.3  13.7   1   3     0.039   2.1e+02    1.7   0.1    27    55    29    57    11    84 0.83 Cytochrome b(N-terminal)/b6/petB
Cytochrom_B_N_2      PF13631.4    169 LmeyeA               -            387   3.1e-38  131.3  13.7   2   3   5.7e-42   3.1e-38  131.3  13.7     2   168    88   253    87   254 0.98 Cytochrome b(N-terminal)/b6/petB
Cytochrom_B_N_2      PF13631.4    169 LmeyeA               -            387   3.1e-38  131.3  13.7   3   3       1.4   7.7e+03   -3.4   2.5   118   118   338   338   284   377 0.60 Cytochrome b(N-terminal)/b6/petB
Cytochrom_B_C        PF00032.15   103 LmeyeA               -            387   5.3e-35  119.7   1.6   1   3     0.089   4.8e+02    1.0   0.3    55    84   106   135    77   156 0.66 Cytochrome b(C-terminal)/b6/petD
Cytochrom_B_C        PF00032.15   103 LmeyeA               -            387   5.3e-35  119.7   1.6   2   3      0.17   9.5e+02    0.0   0.1    65    96   187   218   175   236 0.74 Cytochrome b(C-terminal)/b6/petD
Cytochrom_B_C        PF00032.15   103 LmeyeA               -            387   5.3e-35  119.7   1.6   3   3   9.8e-39   5.3e-35  119.7   1.6     1   103   259   360   259   360 0.99 Cytochrome b(C-terminal)/b6/petD
Cytochrome_B         PF00033.17   189 SpombA               -            387     2e-75  252.7  14.1   1   2   3.6e-79     2e-75  252.7  14.1     2   188    18   204    17   205 0.99 Cytochrome b/b6/petB
Cytochrome_B         PF00033.17   189 SpombA               -            387     2e-75  252.7  14.1   2   2       1.1   5.7e+03   -3.2   0.4   155   167   351   363   323   377 0.53 Cytochrome b/b6/petB
