### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction	probability
Schistosoma	AAG	K	R	0.0	0.222222222222	0.25	0.0833333333333	0.5	0.6	0.1	920.0	0.985765124555	2.0	0.0	0.011
Schistosoma	AAA	K	R	0.0	0.222222222222	0.25	0.125	0.125	0.4	0.1	920.0	0.594736842105	0.0	0.0	0.38
Fasciola	AAG	K	R	0.0	0.033199396216	0.25	0.0909090909091	0.545454545455	0.846153846154	0.0769230769231	924.0	1.50384615385	2.0	0.0	0.137
Halocynthia	AAG	K	R	0.0	0.666666666667	0.333333333333	0.1	0.5	0.625	0.0625	973.0	0.926229508197	2.0	0.0	0.009
Caenorhabditis	AAG	K	R	0.0	0.769230769231	0.5	0.5	0.5	0.1	0.2	969.0	3.27272727273	2.0	0.0	0.064
Caenorhabditis	AAA	K	R	0.0	0.769230769231	0.6	0.166666666667	0.444444444444	0.9	0.2	969.0	1.27972027972	0.0	1.0	0.519
Axinella	AAA	K	R	0.0	0.00147981662738	0.5	0.133333333333	0.666666666667	0.882352941176	0.117647058824	988.0	1.49428571429	0.0	1.0	0.594
Terebratulina	AAA	K	R	0.0	0.0516732391841	0.333333333333	0.0833333333333	0.833333333333	1.0	0.0833333333333	990.0	1.76895306859	0.0	1.0	0.573
Geodia	AAG	K	R	0.0	0.214285714286	0.5	0.5	0.5	0.105263157895	0.157894736842	990.0	3.0	2.0	0.0	0.067
Geodia	AAA	K	R	0.0	0.214285714286	0.5	0.117647058824	0.588235294118	0.894736842105	0.157894736842	990.0	1.3575	0.0	0.0	0.442
Metridium	AAA	K	R	0.0	0.590909090909	0.25	0.1	0.8	0.833333333333	0.0833333333333	989.0	1.60606060606	0.0	0.0	0.342
Acropora	AAA	K	R	0.0	0.659090909091	0.5	0.181818181818	0.727272727273	0.846153846154	0.153846153846	989.0	1.86614173228	0.0	0.0	0.462
Trichinella	AAG	K	R	0.0	0.25	0.5	0.5	0.5	0.111111111111	0.166666666667	913.0	3.14583333333	2.0	0.0	0.066
Trichinella	AAA	K	R	0.0	0.25	0.5	0.125	0.5	0.888888888889	0.166666666667	913.0	1.16315789474	0.0	1.0	0.501
Myxine	AAA	K	R	0.0	0.00174328682053	0.666666666667	0.133333333333	0.733333333333	1.0	0.133333333333	990.0	1.77272727273	0.0	1.0	0.613
Ciona	AAG	K	R	0.0	0.166666666667	0.333333333333	0.2	0.4	0.3125	0.0625	979.0	1.42016806723	2.0	0.0	0.055
Homo	AAA	K	R	1.0	0.0562362775983	0.333333333333	0.0833333333333	0.916666666667	0.923076923077	0.0769230769231	988.0	1.93548387097	0.0	1.0	0.55

### Prediction Prob. range for Positive :[ 0.501 - 0.613 ]

