#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Fun_ATP-synt_8       PF05933.11    48 LmeyeA               -             48   1.1e-26   92.6  11.7   1   1   1.5e-30   1.2e-26   92.5  11.7     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
PsbL                 PF02419.15    37 LmeyeA               -             48     0.079   12.8   4.0   1   2      0.29   2.4e+03   -1.5   0.2    34    37     8    11     4    11 0.83 PsbL protein
PsbL                 PF02419.15    37 LmeyeA               -             48     0.079   12.8   4.0   2   2   9.7e-06     0.079   12.8   4.0    19    36    15    32    12    33 0.91 PsbL protein
Fun_ATP-synt_8       PF05933.11    48 SpombA               -             48   7.8e-25   86.7  10.5   1   1   5.1e-29   8.4e-25   86.6  10.5     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
Fun_ATP-synt_8       PF05933.11    48 SpastA               -             48   8.5e-25   86.5  13.5   1   1   5.6e-29   9.2e-25   86.4  13.5     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
Fun_ATP-synt_8       PF05933.11    48 CmetaD               -             48   5.3e-21   74.4   7.9   1   1   6.9e-25   5.7e-21   74.3   7.9     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
CytB6-F_Fe-S         PF08802.8     39 CmetaD               -             48     0.056   13.3   3.6   1   1   1.2e-05       0.1   12.5   3.6    11    37     9    33     8    34 0.91 Cytochrome B6-F complex Fe-S subunit
Fun_ATP-synt_8       PF05933.11    48 CgigaA               -             48   5.4e-22   77.6   3.1   1   1   3.6e-26   5.8e-22   77.5   3.1     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
Fun_ATP-synt_8       PF05933.11    48 CsantA               -             48     3e-17   62.4   6.4   1   1     2e-21   3.2e-17   62.3   6.4     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
Fun_ATP-synt_8       PF05933.11    48 CtropB               -             48   2.9e-22   78.5   5.0   1   1   3.8e-26   3.1e-22   78.4   5.0     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
CytB6-F_Fe-S         PF08802.8     39 CtropB               -             48     0.045   13.7   2.8   1   1   7.5e-06     0.061   13.2   2.4    12    25    10    23     9    36 0.84 Cytochrome B6-F complex Fe-S subunit
Fun_ATP-synt_8       PF05933.11    48 CtropA               -             48   2.9e-22   78.5   5.0   1   1   3.8e-26   3.1e-22   78.4   5.0     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
CytB6-F_Fe-S         PF08802.8     39 CtropA               -             48     0.045   13.7   2.8   1   1   7.5e-06     0.061   13.2   2.4    12    25    10    23     9    36 0.84 Cytochrome B6-F complex Fe-S subunit
Fun_ATP-synt_8       PF05933.11    48 WpijpA               -             48   1.2e-24   86.0  12.1   1   1   1.6e-28   1.3e-24   85.9  12.1     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
YMF19                PF02326.13    86 WpijpA               -             48       2.2    9.0   8.3   1   1   0.00028       2.3    8.9   8.3     1    41     2    42     2    48 0.93 Plant ATP synthase F0
Fun_ATP-synt_8       PF05933.11    48 CsubhA               -             48     3e-13   49.6   1.2   1   1   3.9e-17   3.2e-13   49.5   1.2     1    47     1    47     1    48 0.96 Fungal ATP synthase protein 8 (A6L)
DUF423               PF04241.13    88 CsubhA               -             48     0.065   13.3   0.1   1   1     8e-06     0.065   13.3   0.1    53    76     8    31     2    45 0.81 Protein of unknown function (DUF423)
Fun_ATP-synt_8       PF05933.11    48 CsubhB               -             48     3e-13   49.6   1.2   1   1   3.9e-17   3.2e-13   49.5   1.2     1    47     1    47     1    48 0.96 Fungal ATP synthase protein 8 (A6L)
DUF423               PF04241.13    88 CsubhB               -             48     0.065   13.3   0.1   1   1     8e-06     0.065   13.3   0.1    53    76     8    31     2    45 0.81 Protein of unknown function (DUF423)
Fun_ATP-synt_8       PF05933.11    48 OanguA               -             48   7.1e-15   54.8  11.3   1   1   4.7e-19   7.7e-15   54.7  11.3     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
Fun_ATP-synt_8       PF05933.11    48 SarboA               -             48   7.2e-24   83.6  13.6   1   1   9.6e-28   7.8e-24   83.5  13.6     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
PsbL                 PF02419.15    37 SarboA               -             48     0.046   13.6   5.0   1   2      0.29   2.3e+03   -1.5   0.2    34    37     8    11     4    11 0.83 PsbL protein
PsbL                 PF02419.15    37 SarboA               -             48     0.046   13.6   5.0   2   2   5.6e-06     0.046   13.6   5.0    19    36    15    32    12    33 0.91 PsbL protein
Fun_ATP-synt_8       PF05933.11    48 CcastA               -             48   9.2e-23   80.0  12.5   1   1   6.1e-27     1e-22   79.9  12.5     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
Fun_ATP-synt_8       PF05933.11    48 KtherA               -             48   1.1e-26   92.6  11.7   1   1   1.5e-30   1.2e-26   92.5  11.7     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
PsbL                 PF02419.15    37 KtherA               -             48     0.079   12.8   4.0   1   2      0.29   2.4e+03   -1.5   0.2    34    37     8    11     4    11 0.83 PsbL protein
PsbL                 PF02419.15    37 KtherA               -             48     0.079   12.8   4.0   2   2   9.7e-06     0.079   12.8   4.0    19    36    15    32    12    33 0.91 PsbL protein
Fun_ATP-synt_8       PF05933.11    48 CnorvA               -             51   7.4e-23   80.3  12.3   1   1   1.1e-26   8.9e-23   80.1  12.3     1    46     1    46     1    47 0.99 Fungal ATP synthase protein 8 (A6L)
YMF19                PF02326.13    86 CnorvA               -             51      0.48   11.1   5.8   1   1   5.9e-05      0.48   11.1   5.8     1    42     2    43     2    51 0.92 Plant ATP synthase F0
Fun_ATP-synt_8       PF05933.11    48 CviswA               -             48   1.2e-20   73.3   9.2   1   1   1.5e-24   1.2e-20   73.2   9.2     1    47     1    47     1    48 0.98 Fungal ATP synthase protein 8 (A6L)
ATP-synt_8           PF00895.18    55 CviswA               -             48     0.079   13.3   6.1   1   1   1.8e-05      0.14   12.5   6.0     1    26     1    26     1    44 0.90 ATP synthase protein 8
Fun_ATP-synt_8       PF05933.11    48 MstarA               -             48   6.8e-22   77.2  15.1   1   1   4.5e-26   7.4e-22   77.1  15.1     1    48     1    48     1    48 0.99 Fungal ATP synthase protein 8 (A6L)
