### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction	probability
Paracentrotus	TTC	F	Y	0.0	0.775280898876	0.2	0.03125	0.90625	0.336842105263	0.0210526315789	979.0	2.68563685637	23.0	0.0	0.004
Paracentrotus	TTT	F	Y	0.0	0.775280898876	0.2	0.015873015873	0.936507936508	0.663157894737	0.0210526315789	979.0	2.67345553293	21.0	0.0	0.004
Schistosoma	TTT	F	Y	0.0	0.634146341463	0.8	0.0909090909091	0.515151515152	0.929577464789	0.0845070422535	842.0	1.84115755627	21.0	0.0	0.021
Fasciola	TTT	F	Y	0.0	0.697551020408	0.8	0.1375	0.4625	0.963855421687	0.132530120482	878.0	1.85624012638	21.0	0.0	0.017
Patiria	TTT	F	Y	0.0	0.346153846154	0.4	0.037037037037	0.907407407407	0.5625	0.0208333333333	979.0	2.69800796813	21.0	0.0	0.004
Lumbricus	TTT	F	Y	0.0	0.332472748135	0.4	0.0350877192982	0.877192982456	0.626373626374	0.021978021978	977.0	2.55672426747	21.0	0.0	0.004
Halocynthia	TTC	F	Y	0.0	0.127945738472	1.0	0.25	0.75	0.0449438202247	0.0561797752809	963.0	3.78260869565	23.0	0.0	0.089
Halocynthia	TTT	F	Y	0.0	0.127945738472	0.6	0.0470588235294	0.823529411765	0.955056179775	0.0561797752809	963.0	2.39676930843	21.0	0.0	0.05
Limulus	TTC	F	Y	2.0	0.417509069776	0.4	0.0487804878049	0.926829268293	0.436170212766	0.031914893617	979.0	2.87343096234	23.0	0.0	0.004
Limulus	TTT	F	Y	2.0	0.417509069776	0.2	0.0188679245283	0.905660377358	0.563829787234	0.031914893617	979.0	2.62052117264	21.0	0.0	0.004
Caenorhabditis	TTT	F	Y	0.0	0.697969725313	0.4	0.0666666666667	0.722222222222	0.918367346939	0.0612244897959	959.0	2.32873453853	21.0	0.0	0.0
Axinella	TTT	F	Y	0.0	0.601930758263	0.4	0.0352941176471	0.870588235294	0.913978494624	0.0322580645161	977.0	2.75012619889	21.0	0.0	0.004
Terebratulina	TTC	F	Y	0.0	0.753651411879	0.2	0.0208333333333	0.9375	0.578313253012	0.0240963855422	977.0	2.66127583109	23.0	0.0	0.004
Terebratulina	TTT	F	Y	0.0	0.753651411879	0.2	0.0285714285714	0.914285714286	0.421686746988	0.0240963855422	977.0	2.71550671551	21.0	0.0	0.004
Katharina	TTC	F	Y	0.0	0.00825510637294	0.333333333333	0.285714285714	0.714285714286	0.0744680851064	0.031914893617	976.0	3.75449101796	23.0	0.0	0.167
Katharina	TTT	F	Y	0.0	0.00825510637294	0.2	0.0114942528736	0.908045977011	0.925531914894	0.031914893617	976.0	2.51507661888	21.0	0.0	0.141
Geodia	TTC	F	Y	0.0	0.236190153568	0.333333333333	0.0769230769231	0.923076923077	0.142857142857	0.032967032967	979.0	3.14765100671	23.0	0.0	0.008
Geodia	TTT	F	Y	0.0	0.236190153568	0.4	0.025641025641	0.858974358974	0.857142857143	0.032967032967	979.0	2.55555555556	21.0	0.0	0.004
Metridium	TTC	F	Y	1.0	0.461466878798	0.333333333333	0.0869565217391	0.913043478261	0.244680851064	0.0531914893617	979.0	3.08538899431	23.0	0.0	0.0
Metridium	TTT	F	Y	1.0	0.461466878798	0.4	0.0422535211268	0.87323943662	0.755319148936	0.0531914893617	979.0	2.76690821256	21.0	0.0	0.0
Acropora	TTT	F	Y	0.0	0.626276172057	0.4	0.0454545454545	0.875	0.916666666667	0.0416666666667	978.0	2.71839921913	21.0	0.0	0.004
Trichinella	TTC	F	Y	0.0	0.126397375272	0.4	0.0444444444444	0.822222222222	0.625	0.0833333333333	866.0	2.67401725791	23.0	0.0	0.042
Trichinella	TTT	F	Y	0.0	0.126397375272	0.5	0.148148148148	0.62962962963	0.375	0.0833333333333	866.0	2.65838509317	21.0	0.0	0.05
Balanoglossus	TTC	F	Y	0.0	0.668539325843	0.2	0.016393442623	0.950819672131	0.663043478261	0.0108695652174	978.0	2.73052631579	23.0	0.0	0.004
Myxine	TTC	F	Y	2.0	0.826240582105	0.4	0.05	0.9	0.444444444444	0.0555555555556	979.0	2.90899357602	23.0	0.0	0.0
Myxine	TTT	F	Y	2.0	0.826240582105	0.5	0.06	0.88	0.555555555556	0.0555555555556	979.0	2.82571182053	21.0	0.0	0.008
Ciona	TTT	F	Y	0.0	0.72669703714	0.6	0.0493827160494	0.802469135802	0.852631578947	0.0421052631579	958.0	2.45392311743	21.0	0.0	0.012
Saccoglossus	TTC	F	Y	1.0	0.11801242236	0.4	0.0952380952381	0.857142857143	0.221052631579	0.0421052631579	978.0	2.97330595483	23.0	0.0	0.05
Saccoglossus	TTT	F	Y	1.0	0.11801242236	0.4	0.027027027027	0.945945945946	0.778947368421	0.0421052631579	978.0	2.7620709715	21.0	0.0	0.046
Daphnia	TTT	F	Y	0.0	0.662921348315	0.2	0.015873015873	0.936507936508	0.677419354839	0.010752688172	979.0	2.67506811989	21.0	0.0	0.004
Homo	TTC	F	Y	2.0	0.414788218111	0.2	0.0196078431373	0.901960784314	0.607142857143	0.0357142857143	978.0	2.59983221477	23.0	0.0	0.004
Homo	TTT	F	Y	2.0	0.414788218111	0.2	0.0606060606061	0.939393939394	0.392857142857	0.0357142857143	978.0	2.98018494055	21.0	0.0	0.004
